Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2/15/2017,Epic: Farmers' Market,Epic: Farmers' Market,3.25,debit,Epic Meal,Bank of America ,,
2/14/2017,Epic: Cassiopeia,Epic: Cassiopeia,6.5,debit,Epic Meal,Bank of America ,,
2/14/2017,Epic: Farmers' Market,Epic: Farmers' Market,3.25,debit,Epic Meal,Bank of America ,,
2/13/2017,Epic: Cassiopeia,Epic: Cassiopeia,5.25,debit,Epic Meal,Bank of America ,,
2/13/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
2/10/2017,Epic: Cassiopeia,Epic: Cassiopeia,4.75,debit,Epic Meal,Bank of America ,,
2/10/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
2/9/2017,Epic: Cassiopeia,Epic: Cassiopeia,3.5,debit,Epic Meal,Bank of America ,,
2/9/2017,Epic: Farmers' Market,Epic: Farmers' Market,3.25,debit,Epic Meal,Bank of America ,,
2/9/2017,Venmo from Jeffrey to Christian Lukas,Venmo from Jeffrey to Christian Lukas,15.00,debit,Movies & DVDs,Venmo,,
2/8/2017,Epic: Black Dragon,Epic: Black Dragon,1,debit,Epic Meal,Bank of America ,,
2/8/2017,Epic: Cassiopeia,Epic: Cassiopeia,5.5,debit,Epic Meal,Bank of America ,,
2/8/2017,Epic: Farmers' Market,Epic: Farmers' Market,3.25,debit,Epic Meal,Bank of America ,,
2/7/2017,Epic: Cassiopeia,Epic: Cassiopeia,7,debit,Epic Meal,Bank of America ,,
2/7/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
2/6/2017,Epic: Farmers' Market,Epic: Farmers' Market,3.25,debit,Epic Meal,Bank of America ,,
2/6/2017,Epic: King's Cross,Epic: King's Cross,4.75,debit,Epic Meal,Bank of America ,,
2/3/2017,Epic: Cassiopeia,Epic: Cassiopeia,2.75,debit,Epic Meal,Bank of America ,,
2/3/2017,Epic: Cassiopeia,Epic: Cassiopeia,2.75,debit,Epic Meal,Bank of America ,,
2/2/2017,Epic: Farmers' Market,Epic: Farmers' Market,3.25,debit,Epic Meal,Bank of America ,,
2/2/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
2/1/2017,Epic: Black Dragon,Epic: Black Dragon,1,debit,Epic Meal,Bank of America ,,
2/1/2017,Epic: Cassiopeia,Epic: Cassiopeia,6.75,debit,Epic Meal,Bank of America ,,
2/1/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
1/31/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
1/31/2017,Epic: Farmers' Market,Epic: Farmers' Market,2,debit,Epic Meal,Bank of America ,,
1/31/2017,Epic: King's Cross,Epic: King's Cross,5.25,debit,Epic Meal,Bank of America ,,
1/31/2017,Venmo from Christian Lukas to Jeffrey ,Venmo from Christian Lukas to Jeffrey ,18.00,credit,Groceries,Venmo,,
1/31/2017,Venmo from Karthik Gowda to Jeffrey ,Venmo from Karthik Gowda to Jeffrey ,7.00,credit,Alcohol & Bars,Venmo,,
1/30/2017,Epic: Cassiopeia,Epic: Cassiopeia,3.75,debit,Epic Meal,Bank of America ,,
1/30/2017,Epic: Farmers' Market,Epic: Farmers' Market,3.25,debit,Epic Meal,Bank of America ,,
1/30/2017,"Venmo transfer to Bank Of America, N.A. *1238","Venmo transfer to Bank Of America, N.A. *1238",54.50,debit,Transfer,Venmo,,
1/28/2017,Venmo from John Juenemann to Jeffrey ,Venmo from John Juenemann to Jeffrey ,13.00,credit,Alcohol & Bars,Venmo,,
1/27/2017,Epic: Cassiopeia,Epic: Cassiopeia,3.25,debit,Epic Meal,Bank of America ,,
1/26/2017,Epic: Cassiopeia,Epic: Cassiopeia,5.75,debit,Epic Meal,Bank of America ,,
1/26/2017,Epic: Farmers' Market,Epic: Farmers' Market,2,debit,Epic Meal,Bank of America ,,
1/25/2017,Epic: Cassiopeia,Epic: Cassiopeia,6,debit,Epic Meal,Bank of America ,,
1/25/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
1/24/2017,Epic: Black Dragon,Epic: Black Dragon,1.25,debit,Epic Meal,Bank of America ,,
1/24/2017,Epic: Cassiopeia,Epic: Cassiopeia,5.75,debit,Epic Meal,Bank of America ,,
1/24/2017,Epic: Farmers' Market,Epic: Farmers' Market,3.25,debit,Epic Meal,Bank of America ,,
1/23/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
1/23/2017,Epic: King's Cross,Epic: King's Cross,3,debit,Epic Meal,Bank of America ,,
1/20/2017,Epic: Cassiopeia,Epic: Cassiopeia,6.25,debit,Epic Meal,Bank of America ,,
1/20/2017,Epic: Farmers' Market,Epic: Farmers' Market,3.25,debit,Epic Meal,Bank of America ,,
1/19/2017,Epic: Black Dragon,Epic: Black Dragon,1,debit,Epic Meal,Bank of America ,,
